GameID,League Index,League Name,Age,Hours Per Week,Total Hours,APM,SelectByHotkeys,Hotkeys Used Per Minute,AssignToHotkeys,Hotkeys Assigned Per Minute,Unique Hotkeys,MinimapAttacks,Minimap Attacks Per Minute,MinimapRightClicks,Minimap Right Clicks Per Minute,NumberOfPACs,PACs Per Minute,GapBetweenPACs,ActionLatency,ActionsInPAC,TotalMapExplored,WorkersMade,Workers Made Per Minute,Unique Units Made,ComplexUnitsMade,Complex Units Made Per Minute,ComplexAbilitiesUsed,Complex Abilities Used Per Minute,Column2
1141,1,Bronze,19,10,50,61.6098,0.002206861,11.71843191,0.000251517,1.33555527,7,5.68E-05,0.301608,0.00021095,1.1201445,0.002628761,13.95872091,86.2291,84.5802,3.608,30,0.00048681,2.5849611,8,0,0,0,0,0
1173,1,Bronze,26,8,50,31.33314,0.000149368,0.79314408,6.64E-05,0.352584,4,0,0,0.000348525,1.85066775,0.002530952,13.43935512,111.1842,100.6295,2.3246,25,0.00016596,0.8812476,7,0,0,0.00010788,0.5728428,3041.795268
1228,1,Bronze,26,4,230,68.1048,0.001494836,7.93757916,0.000249139,1.32292809,3,9.06E-05,0.481086,0.000566226,3.00666006,0.002242254,11.90636874,36.7755,90.3838,5.0606,10,0.00061152,3.2471712,3,0,0,0,0,0
1247,1,Bronze,18,42,600,41.037,0.000747702,3.97029762,0.000120002,0.63721062,7,2.77E-05,0.147087,4.62E-05,0.245322,0.002040025,10.83253275,118.6727,116.0724,3.4434,21,0.0002677,1.421487,6,0,0,0,0,0
1298,1,Bronze,17,70,400,82.0902,0.000106655,0.56633805,6.40E-05,0.33984,1,1.07E-05,0.056817,0.000106655,0.56633805,0.001930461,10.25074791,50.0444,71.9779,8.1215,17,0.00035196,1.8689076,6,0,0,0,0,0
1338,1,Bronze,22,6,700,43.3638,0.000330657,1.75578867,9.45E-05,0.501795,4,0.000125964,0.66886884,7.87E-05,0.417897,0.001739884,9.23878404,154.8,123.2941,4.5339,23,0.00088962,4.7238822,10,0,0,0,0,0
1347,1,Bronze,28,4,40,53.55,0.000302298,1.60520238,8.24E-05,0.437544,2,0,0,0.000274816,1.45927296,0.001429043,7.58821833,73.9608,108.6154,6.8269,11,0.0013466,7.150446,4,0,0,0,0,0
1366,1,Bronze,20,14,200,96.7374,0.002277344,12.09269664,0.000246199,1.30731669,1,0,0,0.000415461,2.20609791,0.002015757,10.70366967,57.3231,85.5267,8.2977,17,0.001031,5.47461,5,0,0,0,0,0
1447,1,Bronze,20,28,200,72.591,0.000176258,0.93592998,0.00019829,1.0529199,3,0,0,0.000132194,0.70195014,0.003172645,16.84674495,17.9021,66.6111,4.2778,9,0.00048471,2.5738101,4,0.000154226,0.81894006,2.20E-05,0.11682,620.3142
1469,1,Bronze,22,16,200,55.203,0.001085999,5.76665469,0.000236087,1.25362197,4,0,0,0.000251826,1.33719606,0.002156258,11.44972998,74,114.0146,4.6277,17,0.00077122,4.0951782,5,0.000157391,0.83574621,0.00037774,2.0057994,10650.79481
1580,1,Bronze,19,8,300,104.4486,0.003025141,16.06349871,0.000411184,2.18338704,2,5.87E-05,0.311697,0.000117481,0.62382411,0.001762218,9.35737758,24.4746,72.7333,9.6167,11,0.00061678,3.2751018,3,0,0,2.94E-05,0.156114,828.96534
1603,1,Bronze,16,12,100,61.5984,0.000885508,4.70204748,0.000124719,0.66225789,2,0,0,0.000224495,1.19206845,0.002357196,12.51671076,49.4468,104.7407,4.4392,16,0.00061112,3.2450472,5,0,0,0,0,0
1604,1,Bronze,25,24,300,43.4706,0.000170466,0.90517446,0.000194818,1.03448358,4,0,0,0.000121761,0.64655091,0.002995324,15.90517044,61.2082,106.1138,2.7724,16,0.0007671,4.073301,8,0,0,0,0,0
1634,1,Bronze,18,4,50,82.6356,0.001949166,10.35007146,3.90E-05,0.20709,1,0,0,0,0,0.002611882,13.86909342,79.8788,84.0597,5.0896,14,0.0009356,4.968036,5,0,0,0,0,0
1648,1,Bronze,21,20,600,44.1438,0.000413367,2.19497877,0.000206684,1.09749204,5,0,0,3.26E-05,0.173106,0.002904447,15.42261357,62.8421,91.5955,2.7566,17,0.00047864,2.5415784,6,0,0,0,0,0
1679,1,Bronze,16,8,30,54.4656,0.001223414,6.49632834,0.0001294,0.687114,5,0,0,0.000305854,1.62408474,0.002611519,13.86716589,64.7783,87.8018,3.6306,22,0.00083522,4.4350182,7,0,0,2.35E-05,0.124785,662.60835
1719,1,Bronze,34,12,150,49.1136,0.000185891,0.98708121,0.000185891,0.98708121,1,0,0,0.000418255,2.22093405,0.001185054,6.29263674,57.68,165.5686,7.9412,10,0.00099916,5.3055396,5,0,0,0,0,0
1825,1,Bronze,16,8,70,45.2916,0.000667111,3.54235941,0.000100067,0.53135577,0,5.00E-05,0.2655,8.34E-05,0.442854,0.001200801,6.37625331,112.5634,173.5556,6.6111,17,0.00053369,2.8338939,6,0,0,0,0,0
1826,1,Bronze,27,2,250,37.7802,0,0,4.32E-05,0.229392,1,0,0,0.000330821,1.75665951,0.002517116,13.36588596,60.6897,106.3771,2.8629,12,0.00031644,1.6802964,5,0,0,0,0,0
1830,1,Bronze,16,10,200,92.2266,0.000641343,3.40553133,9.00E-05,0.4779,4,0,0,0.000191278,1.01568618,0.002700392,14.33908152,54.0921,63.6,6.1917,17,0.00030379,1.6131249,8,0,0,1.13E-05,0.060003,318.61593
1852,1,Bronze,28,8,120,44.2218,0.000443146,2.35310526,0.00020516,1.0893996,4,8.21E-06,0.0435951,0,0,0.002716321,14.42366451,46.0727,82.6586,3.0363,25,0.00034467,1.8301977,7,0,0,0.00011489,0.6100659,3239.449929
1902,1,Bronze,17,14,100,73.7232,0.000259929,1.38022299,3.71E-05,0.197001,0,0,0,0.000378754,2.01118374,0.003304815,17.54856765,37.4144,69.618,4.0742,24,0.00033419,1.7745489,7,7.43E-05,0.394533,2.97E-05,0.157707,837.42417
2013,1,Bronze,20,20,900,100.518,0.001610331,8.55085761,0.000322066,1.71017046,5,0.00026072,1.3844232,0,0,0.003558064,18.89331984,39.9654,65.7069,4.7672,15,0.00059812,3.1760172,6,0,0,0,0,0
2051,1,Bronze,16,6,670,56.6298,0.000529815,2.81331765,0.000267696,1.42146576,1,5.58E-06,0.0296298,3.35E-05,0.177885,0.001868294,9.92064114,102.5269,111.1761,5.5075,23,0.00050751,2.6948781,9,5.02E-05,0.266562,0.00019519,1.0364589,5503.596759
2095,1,Bronze,38,16,300,71.595,0.000276968,1.47070008,2.92E-05,0.155052,2,0.000174927,0.92886237,0.000233236,1.23848316,0.002084548,11.06894988,30.5634,76.4476,6.4336,15,0.001414,7.50834,6,0,0,0,0,0
2178,1,Bronze,16,20,500,55.8648,0.000122856,0.65236536,6.14E-05,0.326034,5,2.46E-05,0.130626,0.000343997,1.82662407,0.002567694,13.63445514,48.5769,71.2919,4.0574,18,0.00039314,2.0875734,11,4.91E-05,0.260721,4.91E-05,0.260721,1384.42851
2231,1,Bronze,26,2,100,48.4494,0.000708692,3.76315452,0.000228223,1.21186413,3,6.01E-05,0.319131,4.80E-05,0.25488,0.002774708,14.73369948,52.9913,84.6061,3.1991,26,0.00055254,2.9339874,7,0,0,4.80E-05,0.25488,1353.4128
2423,1,Bronze,35,14,50,32.8884,5.54E-05,0.294174,0.000110816,0.58843296,2,0,0,0.000277039,1.47107709,0.000886525,4.70744775,9.9355,128.5,7.2812,7,0.00047097,2.5008507,3,0,0,0,0,0
2533,1,Bronze,24,10,300,54.045,0.000371722,1.97384382,6.76E-05,0.358956,3,1.69E-05,0.089739,0.000185861,0.98692191,0.00219654,11.6636274,63.2248,96.2462,4.5538,11,0.0004731,2.512161,3,0,0,0,0,0
2677,1,Bronze,18,2,80,39.8712,4.33E-05,0.229923,0.000100946,0.53602326,4,5.77E-05,0.306387,5.77E-05,0.306387,0.002610175,13.86002925,62.1556,102.453,2.9282,12,0.00031726,1.6846506,5,0,0,0,0,0
2988,1,Bronze,18,24,900,46.5588,0.000420496,2.23283376,0.000165195,0.87718545,3,1.50E-05,0.07965,7.51E-05,0.398781,0.002222623,11.80212813,42.0136,95.027,3.8108,13,0.00058569,3.1100139,5,0,0,0.00010512,0.5581872,2963.974032
2997,1,Bronze,16,8,72,70.41,0.001090021,5.78801151,0.000155717,0.82685727,6,0,0,3.28E-05,0.174168,0.002704563,14.36122953,103.7568,88.2303,4.5364,28,0.00071302,3.7861362,9,0,0,0,0,0
3031,1,Bronze,21,8,500,47.9412,0.000569727,3.02525037,0.00011027,0.5855337,4,0.000147026,0.78070806,0.000128648,0.68312088,0.00183783,9.7588773,89.9798,94.68,4.71,15,0.00062486,3.3180066,5,0,0,0,0,0
3044,1,Bronze,20,10,20,48.1542,0.001958751,10.40096781,0.000489688,2.60024328,1,0.000100818,0.53534358,0.000345662,1.83546522,0.002520452,13.38360012,54.8506,101.0971,2.9657,12,0.00048969,2.6002539,7,0,0,0.00011522,0.6118182,3248.754642
3061,1,Bronze,18,8,150,84.5352,0.002354788,12.50392428,0.000160554,0.85254174,4,3.57E-05,0.189567,0.000196232,1.04199192,0.003246753,17.24025843,68.1989,63.5824,4.2198,22,0.00067789,3.5995959,5,0,0,0,0,0
3104,1,Bronze,16,20,20,103.0962,0.000659392,3.50137152,0.000232727,1.23578037,5,0,0,0,0,0.002909082,15.44722542,56,70.7733,6.5289,29,0.00090505,4.8058155,6,0,0,0,0,0
3135,1,Bronze,25,4,350,48.5838,0.001093248,5.80514688,0.000144695,0.76833045,6,0,0,0.000257235,1.36591785,0.002106109,11.18343879,86.0308,88.2137,3.9847,16,0.00057878,3.0733218,6,0,0,6.43E-05,0.341433,1813.00923
3146,1,Bronze,25,8,60,53.0832,0.000974961,5.17704291,0.000276978,1.47075318,2,0,0,0.000221582,1.17660042,0.003113229,16.53124599,62.9429,72.6406,3.0498,26,0.00078662,4.1769522,6,0,0,6.65E-05,0.353115,1875.04065
3152,1,Bronze,19,10,50,87.0408,0.005331442,28.30995702,0.000341422,1.81295082,3,0,0,0.000183843,0.97620633,0.003361698,17.85061638,46.0787,71.1562,3.375,17,0.00044648,2.3708088,3,0,0,0,0,0
3210,1,Bronze,32,20,750,94.2588,0.006836564,36.30215484,8.02E-05,0.425862,6,0,0,0.000288869,1.53389439,0.002575748,13.67722188,44.4375,75.5514,4.3302,23,0.0004654,2.471274,9,4.81E-05,0.255411,0,0,0
3237,1,Bronze,25,16,60,69.8094,0.002741573,14.55775263,0.00052809,2.8041579,7,0,0,0.000123596,0.65629476,0.003393258,18.01819998,52.412,76.7947,3.1159,16,0.00053933,2.8638423,7,0,0,5.62E-05,0.298422,1584.62082
3265,1,Bronze,27,14,50,58.4136,0.001569366,8.33333346,0.000348748,1.85185188,4,0,0,0.000191811,1.01851641,0.001604241,8.51851971,46.2418,106.5652,6.4783,14,0.0010114,5.370534,5,0,0,0,0,0
3287,1,Bronze,21,16,100,94.9017,0.003313176,17.59296456,9.65E-05,0.512415,2,0,0,0.000868502,4.61174562,0.002026505,10.76074155,118,110.0952,7.381,12,0.00016083,0.8540073,3,0,0,0,0,0
3302,1,Bronze,23,8,60,51.5208,0.000911969,4.84255539,0.000154863,0.82232253,5,0,0,6.88E-05,0.365328,0.002202492,11.69523252,52.7874,101.3438,4.1016,21,0.00022369,1.1877939,5,0,0,0,0,0
3339,1,Bronze,23,2,200,44.8266,0.000116773,0.62006463,9.34E-05,0.495954,3,2.34E-05,0.124254,0.000490448,2.60427888,0.002136952,11.34721512,58.2418,94.7541,4.0437,21,0.00072399,3.8443869,7,0,0,4.67E-05,0.247977,1316.75787
3344,1,Bronze,20,20,300,60.0696,0.000927571,4.92540201,0.000313545,1.66492395,0,2.61E-05,0.138591,0.000274352,1.45680912,0.002769649,14.70683619,51.8104,76.1698,3.9717,23,0.00045725,2.4279975,7,0.000143708,0.76308948,0.00016984,0.9018504,4788.825624
3389,1,Bronze,17,20,100,56.5278,0.001264843,6.71631633,0.000283944,1.50774264,2,0.000180692,0.95947452,0.000490449,2.60428419,0.002168302,11.51368362,58.8434,94.1429,4.4048,12,0.00082602,4.3861662,4,0,0,7.74E-05,0.410994,2182.37814
3423,1,Bronze,23,10,100,78.1968,0.000409165,2.17266615,4.87E-05,0.258597,4,0.000185099,0.98287569,0.000155873,0.82768563,0.002571896,13.65676776,51.27,71.3485,5.5795,14,0.00038968,2.0692008,7,3.90E-05,0.20709,9.74E-06,0.0517194,274.630014
3426,1,Bronze,35,8,350,66.5358,1.34E-05,0.071154,2.67E-05,0.141777,2,2.01E-05,0.106731,0.00045457,2.4137667,0.001611049,8.55467019,55.15,97.9917,8.1494,27,0.0010228,5.431068,7,0,0,6.68E-06,0.0354708,188.349948
3428,1,Bronze,20,10,50,38.3322,0.000508373,2.69946063,0.000318979,1.69377849,1,0,0,4.98E-05,0.264438,0.001973684,10.48026204,60.3452,113.4141,3.4949,22,0.00025917,1.3761927,5,0,0,0,0,0
3449,1,Bronze,29,10,500,43.6686,0.000212804,1.12998924,0.000123202,0.65420262,6,0,0,0.000100802,0.53525862,0.00208324,11.0620044,48.8,104.6237,4.0108,20,0.00033601,1.7842131,6,0,0,0,0,0
3494,1,Bronze,33,10,750,31.5294,0.000149548,0.79409988,7.04E-05,0.373824,6,0,0,7.92E-05,0.420552,0.001935325,10.27657575,76.895,111.1818,3.0227,17,0.00038706,2.0552886,7,0,0,0,0,0
3539,1,Bronze,20,8,60,76.308,0.001377818,7.31621358,0.000113869,0.60464439,5,0,0,0.000421316,2.23718796,0.002721476,14.45103756,49.7647,73.4059,4.8954,22,0.0012298,6.530238,7,0.000227739,1.20929409,0.00010248,0.5441688,2889.536328
3580,1,Bronze,18,12,600,83.01,0.00040292,2.1395052,2.37E-05,0.125847,0,0,0,0.000355518,1.88780058,0.003033751,16.10921781,40.5039,72,5.0547,13,0.00061623,3.2721813,4,0,0,2.37E-05,0.125847,668.24757
3587,1,Bronze,16,24,500,61.971,0.000137906,0.73228086,0.000114921,0.61023051,4,0,0,0.00032178,1.7086518,0.002666176,14.15739456,54.5043,68.2069,4.4052,13,0.00055162,2.9291022,5,0,0,9.19E-05,0.487989,2591.22159
3621,1,Bronze,32,16,650,33.8424,0.000359913,1.91113803,0.000127711,0.67814541,0,0,0,6.97E-05,0.370107,0.001764733,9.37073223,72.4503,125.8421,3.5395,19,0.00052245,2.7742095,7,0,0,2.32E-05,0.123192,654.14952
3710,1,Bronze,16,16,420,40.1292,0.000188987,1.00352097,0.000130837,0.69474447,4,2.18E-05,0.115758,2.18E-05,0.115758,0.001613654,8.56850274,129.9729,130.2523,4.7342,22,0.00027621,1.4666751,7,0.000181718,0.96492258,5.09E-05,0.270279,1435.18149
3734,1,Bronze,25,10,100,30.1632,0.000427298,2.26895238,0.000122085,0.64827135,3,0,0,0.000152607,0.81034317,0.001526065,8.10340515,113.0612,108.72,3.7,9,0.00051886,2.7551466,4,0,0,3.05E-05,0.161955,859.98105
3752,1,Bronze,20,10,700,66.102,0.000253485,1.34600535,0.000144849,0.76914819,1,9.05E-06,0.0480555,0.000235379,1.24986249,0.002435271,12.93128901,69.8806,95.1524,5.1784,14,0.00089625,4.7590875,8,6.34E-05,0.336654,0.00023538,1.2498678,6636.798018
3764,1,Bronze,20,16,450,78.2736,0.001364664,7.24636584,0.000245213,1.30208103,4,0,0,6.40E-05,0.33984,0.002132287,11.32244397,72.8241,99.08,6.54,20,0.0015459,8.208729,7,0,0,0,0,0
3773,1,Bronze,20,8,500,49.7838,0.000273984,1.45485504,2.11E-05,0.112041,0,0,0,0.000158068,0.83934108,0.002497471,13.26157101,58.9492,92.27,3.8101,22,0.00044259,2.3501529,7,0,0,6.32E-05,0.335592,1781.99352
3782,1,Bronze,18,24,100,37.9656,6.27E-06,0.0332937,3.76E-05,0.199656,2,7.53E-05,0.399843,6.27E-05,0.332937,0.00204481,10.8579411,76.8738,122.5767,3.5982,41,0.00039516,2.0982996,8,0,0,1.25E-05,0.066375,352.45125
3787,1,Bronze,18,14,30,42.3318,0.000770762,4.09274622,0.000127449,0.67675419,6,0.000109242,0.58007502,0.00012138,0.6445278,0.002099871,11.15031501,93.8203,93.1445,3.4913,29,0.00044304,2.3525424,7,1.82E-05,0.096642,2.43E-05,0.129033,685.16523
3801,1,Bronze,22,24,100,24.9042,0.000301136,1.59903216,4.30E-05,0.22833,3,2.87E-05,0.152397,0.000100379,0.53301249,0.001878513,9.97490403,75.3538,141.8931,2.4885,13,0.00045887,2.4365997,5,0,0,0,0,0
3843,1,Bronze,20,24,75,65.7948,0,0,1.12E-05,0.059472,1,0,0,6.71E-05,0.356301,0.0027641,14.677371,52,82.7206,4.4696,16,0.00027977,1.4855787,5,2.24E-05,0.118944,1.12E-05,0.059472,315.79632
3857,1,Bronze,24,16,200,31.7124,7.64E-05,0.405684,4.58E-05,0.243198,3,0,0,0.000152709,0.81088479,0.002076843,11.02803633,60.9185,101.3824,3.0221,20,0.00050394,2.6759214,4,0,0,0.00012217,0.6487227,3444.717537
3880,1,Bronze,20,4,25,85.2954,0.000979945,5.20350795,9.12E-05,0.484272,0,0,0,0.000432999,2.29922469,0.001686418,8.95487958,49.589,83.6216,8.8514,12,0.00082042,4.3564302,4,0,0,0,0,0
3899,1,Bronze,16,16,80,37.31454,0.000192456,1.02194136,3.85E-05,0.204435,0,0,0,0.00034642,1.8394902,0.000846805,4.49653455,237.1429,161.6364,8.0909,18,7.70E-05,0.40887,2,0,0,0,0,0
3927,1,Bronze,18,20,80,41.8968,0.002025463,10.75520853,0.000385803,2.04861393,10,2.41E-05,0.127971,9.65E-05,0.512415,0.001663773,8.83463463,63,145.0435,3.913,11,0.0010368,5.505408,6,0,0,0,0,0
4157,1,Bronze,25,12,20,71.2314,0.000378845,2.01166695,5.68E-05,0.301608,2,1.89E-05,0.100359,0.000246249,1.30758219,0.002670859,14.18226129,73.7714,83.1489,4.844,13,0.0011744,6.236064,5,0,0,0,0,0
4177,1,Bronze,16,20,150,51.4452,0.000141538,0.75156678,6.53E-05,0.346743,5,1.09E-05,0.057879,0.000326627,1.73438937,0.00400662,21.2751522,49.5695,59.1304,2.3016,30,0.00023953,1.2719043,7,0,0,0,0,0
4191,1,Bronze,25,28,600,60.507,0.000525663,2.79127053,0.000161743,0.85885533,5,1.35E-05,0.071685,5.39E-05,0.286209,0.002399181,12.73965111,44.6328,85.3483,4.6517,8,0.00071436,3.7932516,6,0,0,0.00021566,1.1451546,6080.770926
4263,1,Bronze,23,4,20,53.4696,0.000396063,2.10309453,6.00E-05,0.3186,3,4.80E-05,0.25488,0.000432069,2.29428639,0.001644263,8.73103653,86.3529,132.2628,6.1241,19,0.0010202,5.417262,6,0,0,0,0,0
4269,1,Bronze,26,16,30,35.0388,0.001375138,7.30198278,0.000144751,0.76862781,5,0,0,4.34E-05,0.230454,0.002605524,13.83533244,73.2067,96.7556,2.0389,16,0.00047768,2.5364808,5,0,0,0,0,0
4276,1,Bronze,29,28,900,58.2984,0.001898348,10.08022788,0.000332557,1.76587767,2,0,0,1.39E-05,0.073809,0.002882164,15.30429084,65.9903,93.0192,3.2644,23,0.00083139,4.4146809,5,6.93E-05,0.367983,0.00016628,0.8829468,4688.447508
4283,1,Bronze,21,20,600,47.1678,0.000468837,2.48952447,0.000190465,1.01136915,4,0.000227093,1.20586383,0.001018255,5.40693405,0.002769069,14.70375639,47.2255,89.0899,3.127,34,0.00054942,2.9174202,7,0,0,0.00016116,0.8557596,4544.083476
4510,1,Bronze,25,4,50,43.2744,0.000824336,4.37722416,0.000196965,1.04588415,5,0,0,6.57E-05,0.348867,0.002626204,13.94514324,67.532,103.3,2.9083,16,0.00022615,1.2008565,9,0,0,0,0,0
4517,1,Bronze,31,12,200,41.586,0.001057703,5.61640293,0.000168877,0.89673687,5,0.000195542,1.03832802,4.44E-05,0.235764,0.001724322,9.15614982,130.2176,122.0206,4.0825,25,0.00062218,3.3037758,5,0,0,0,0,0
4565,1,Bronze,19,8,75,75.6618,0.00075785,4.0241835,7.41E-05,0.393471,3,0,0,8.24E-05,0.437544,0.003105539,16.49041209,72.2234,76.7321,4.122,24,0.00043659,2.3182929,5,0,0,0,0,0
4684,1,Bronze,16,16,140,85.08,0.000675322,3.58595982,0.000152492,0.80973252,0,0,0,0.00052283,2.7762273,0.001829906,9.71680086,28.8675,79.8571,8.0833,13,0.00037034,1.9665054,4,0,0,0,0,0
4777,1,Bronze,24,6,20,43.1352,0.000242332,1.28678292,6.06E-05,0.321786,3,0,0,0.000112511,0.59743341,0.002925293,15.53330583,79.3709,67.0059,2.716,33,0.0005539,2.941209,8,5.19E-05,0.275589,1.73E-05,0.091863,487.79253
4889,1,Bronze,30,2,60,100.0932,0.002155813,11.44736703,0.000191156,1.01503836,6,2.12E-05,0.112572,0.000318593,1.69172883,0.00324965,17.2556415,53.377,66.7582,5.2092,31,0.00074338,3.9473478,7,7.43E-05,0.394533,0.00035045,1.8608895,9881.323245
4943,1,Bronze,21,8,200,69.7926,0.001471274,7.81246494,0.000480713,2.55258603,6,0.00010197,0.5414607,0.000291341,1.54702071,0.002811444,14.92876764,43.2292,63.5855,4.342,19,0.0010634,5.646654,6,0,0,0,0,0
4960,1,Bronze,22,10,600,61.92,0.000111166,0.59029146,0.000117706,0.62501886,5,0.000170019,0.90280089,0.000333499,1.77087969,0.00219717,11.6669727,43.403,97.1905,5.881,32,0.00083048,4.4098488,9,2.62E-05,0.139122,0,0,0
5004,1,Bronze,24,6,150,35.04,0.000661065,3.51025515,0.000352568,1.87213608,2,1.47E-05,0.078057,4.41E-05,0.234171,0.001850981,9.82870911,82.112,111.0794,3.3095,15,0.00027912,1.4821272,5,0,0,0,0,0
5020,1,Bronze,24,12,400,63.8106,0,0,0,0,0,0,0,5.60E-05,0.29736,0.005012882,26.61840342,48.1681,51.5084,2.1006,23,0.00044808,2.3793048,6,0,0,0,0,0
5057,1,Bronze,26,10,12,30.6366,0.000499115,2.65030065,8.86E-05,0.470466,4,0,0,6.44E-05,0.341964,0.001819353,9.66076443,91.4311,113.2389,3.0133,18,0.00043471,2.3083101,8,0,0,8.05E-06,0.0427455,226.978605
5060,1,Bronze,20,28,100,139.6362,0.007162457,38.03264667,0.000605278,3.21402618,3,0,0,2.02E-05,0.107262,0.002219353,11.78476443,58.8624,76.4364,9.2364,20,0.00066581,3.5354511,5,0,0,0,0,0
5090,1,Bronze,29,8,90,80.3448,0.000830711,4.41107541,0.000106986,0.56809566,3,0,0,0.000106986,0.56809566,0.003316551,17.61088581,58.8821,82.4288,4.3586,31,0.0001825,0.969075,6,0,0,0,0,0
5099,1,Bronze,27,4,100,30.9174,0.000292883,1.55520873,0.000158645,0.84240495,4,1.22E-05,0.064782,7.32E-05,0.388692,0.002635947,13.99687857,70.2326,102.7222,2.2037,15,0.00024407,1.2960117,4,0,0,8.54E-05,0.453474,2407.94694
5304,1,Bronze,21,12,200,62.004,0.001691475,8.98173225,0.000302049,1.60388019,5,0,0,0.000157066,0.83402046,0.002899671,15.39725301,58.9289,85.7667,3.5583,14,0.0006041,3.207771,7,0,0,0.00019331,1.0264761,5450.588091
5323,1,Bronze,18,28,200,49.7424,0.000365927,1.94307237,0.000137223,0.72865413,6,3.27E-05,0.173637,0.000673044,3.57386364,0.001914582,10.16643042,75.9863,103.1399,4.8191,24,0.00033979,1.8042849,9,7.84E-05,0.416304,0,0,0
5326,1,Bronze,20,20,16,73.2594,0.000954199,5.06679669,0.000136314,0.72382734,5,0,0,9.91E-05,0.526221,0.003866363,20.53038753,52.8103,69.4359,3.2981,21,0.00069396,3.6849276,6,0,0,0,0,0
